experiment_domain,trial_id,repetition,random_seed,injected_failure_type,injected_severity,expected_root_cause,failure_detected,detected_failure_category,detection_correct,predicted_root_cause,classification_correct,classification_confidence,remediation_action,remediation_executed,human_approval_required,cycle_status,recovery_verified,input_record_count,output_record_count,quarantined_record_count,runtime_milliseconds,original_size_bytes,observed_size_bytes,regenerated_size_bytes,checksum_restored
dataframe,source_failure-low-r001-s10043,1,10043,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.7431,,,,
dataframe,source_failure-low-r002-s10044,2,10044,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.0667,,,,
dataframe,source_failure-low-r003-s10045,3,10045,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.9855,,,,
dataframe,source_failure-low-r004-s10046,4,10046,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.0584,,,,
dataframe,source_failure-low-r005-s10047,5,10047,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.0364,,,,
dataframe,source_failure-low-r006-s10048,6,10048,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.8409,,,,
dataframe,source_failure-low-r007-s10049,7,10049,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.8947,,,,
dataframe,source_failure-low-r008-s10050,8,10050,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,7.5428,,,,
dataframe,source_failure-low-r009-s10051,9,10051,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.6868,,,,
dataframe,source_failure-low-r010-s10052,10,10052,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.794,,,,
dataframe,source_failure-low-r011-s10053,11,10053,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.7428,,,,
dataframe,source_failure-low-r012-s10054,12,10054,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.5758,,,,
dataframe,source_failure-low-r013-s10055,13,10055,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.9392,,,,
dataframe,source_failure-low-r014-s10056,14,10056,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.8532,,,,
dataframe,source_failure-low-r015-s10057,15,10057,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,11.3477,,,,
dataframe,source_failure-low-r016-s10058,16,10058,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,10.6079,,,,
dataframe,source_failure-low-r017-s10059,17,10059,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,10.724,,,,
dataframe,source_failure-low-r018-s10060,18,10060,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,10.8533,,,,
dataframe,source_failure-low-r019-s10061,19,10061,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.7445,,,,
dataframe,source_failure-low-r020-s10062,20,10062,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.0254,,,,
dataframe,source_failure-low-r021-s10063,21,10063,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.8543,,,,
dataframe,source_failure-low-r022-s10064,22,10064,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.8408,,,,
dataframe,source_failure-low-r023-s10065,23,10065,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,7.1576,,,,
dataframe,source_failure-low-r024-s10066,24,10066,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,10.7236,,,,
dataframe,source_failure-low-r025-s10067,25,10067,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.7968,,,,
dataframe,source_failure-low-r026-s10068,26,10068,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.0687,,,,
dataframe,source_failure-low-r027-s10069,27,10069,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,11.581,,,,
dataframe,source_failure-low-r028-s10070,28,10070,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,8.8653,,,,
dataframe,source_failure-low-r029-s10071,29,10071,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,7.1185,,,,
dataframe,source_failure-low-r030-s10072,30,10072,source_failure,low,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,9.6508,,,,
dataframe,source_failure-medium-r001-s11043,1,11043,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.1021,,,,
dataframe,source_failure-medium-r002-s11044,2,11044,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,7.0588,,,,
dataframe,source_failure-medium-r003-s11045,3,11045,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.986,,,,
dataframe,source_failure-medium-r004-s11046,4,11046,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,9.7221,,,,
dataframe,source_failure-medium-r005-s11047,5,11047,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.4782,,,,
dataframe,source_failure-medium-r006-s11048,6,11048,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.6358,,,,
